Year of Survey [Core],Age [Demographic Core],Sex,Race,region,Highest Grade Completed [Demographic],Employment Status,
2010,46.0,0,3,1,16.0,1,
2010,36.0,0,2,1,15.0,7,
2010,40.0,0,5,1,16.0,7,
2010,59.0,1,5,1,19.0,6,
2010,80.0,0,5,1,12.0,3,
2010,43.0,0,5,1,20.0,7,
2010,73.0,0,5,6,12.0,3,
2010,27.0,0,5,6,14.0,1,
2010,73.0,1,5,6,16.0,3,
2010,60.0,0,5,6,20.0,3,
2010,51.0,1,4,6,18.0,7,
2010,21.0,1,5,6,15.0,8,
2010,30.0,0,5,6,7.0,2,
2010,45.0,0,5,6,12.0,7,
2010,35.0,0,4,6,12.0,7,
2010,79.0,0,5,6,13.0,7,
2010,67.0,1,5,6,20.0,8,
2010,19.0,0,5,6,14.0,7,
2010,76.0,1,5,6,16.0,8,
2010,70.0,0,5,6,16.0,6,
2010,60.0,1,5,6,18.0,7,
2010,47.0,1,4,6,16.0,7,
2010,57.0,0,5,6,17.0,7,
2010,43.0,1,5,6,16.0,7,
2010,45.0,0,5,6,16.0,7,
2010,38.0,1,3,6,10.0,7,
2010,25.0,0,3,6,12.0,8,
2010,62.0,1,2,6,16.0,6,
2010,28.0,1,2,6,15.0,1,
2010,61.0,1,2,6,16.0,8,
2010,47.0,1,2,6,16.0,7,
2010,55.0,1,5,6,14.0,7,
2010,48.0,0,2,6,13.0,8,
2010,49.0,1,5,6,12.0,7,
2010,20.0,1,1,6,13.0,8,
2010,24.0,1,6,6,17.0,8,
2010,24.0,1,5,6,16.0,8,
2010,26.0,0,5,6,16.0,6,
2010,27.0,1,5,6,19.0,4,
2010,48.0,1,5,6,20.0,7,
2010,54.0,0,5,6,16.0,7,
2010,64.0,0,5,6,17.0,3,
2010,23.0,0,1,6,15.0,4,
2010,73.0,1,3,6,13.0,3,
2010,30.0,1,3,6,12.0,7,
2010,53.0,0,4,6,13.0,3,
2010,39.0,1,4,6,15.0,8,
2010,39.0,1,2,6,13.0,7,
2010,50.0,1,3,6,12.0,7,
2010,65.0,1,5,6,20.0,3,
2010,51.0,0,5,6,12.0,7,
2010,29.0,1,3,6,12.0,6,
2010,20.0,0,4,6,12.0,7,
2010,50.0,1,5,6,12.0,8,
2010,72.0,0,5,6,12.0,8,
2010,68.0,1,2,6,13.0,3,
2010,41.0,1,5,6,14.0,6,
2010,63.0,1,5,6,20.0,3,
2010,62.0,1,5,6,16.0,7,
2010,52.0,0,6,6,15.0,3,
2010,46.0,1,1,6,8.0,7,
2010,19.0,1,5,6,11.0,8,
2010,45.0,1,5,6,16.0,6,
2010,72.0,1,5,3,17.0,3,
2010,26.0,0,5,3,12.0,1,
2010,48.0,1,5,3,20.0,7,
2010,65.0,1,5,3,13.0,7,
2010,79.0,0,4,3,12.0,3,
2010,82.0,1,2,3,16.0,3,
2010,51.0,1,2,3,12.0,7,
2010,38.0,0,2,3,16.0,7,
2010,47.0,1,5,3,12.0,7,
2010,40.0,0,2,3,12.0,7,
2010,56.0,1,5,7,14.0,7,
2010,79.0,0,5,7,12.0,3,
2010,43.0,0,5,3,12.0,4,
2010,37.0,0,4,3,10.0,5,
2010,30.0,0,3,3,12.0,7,
2010,29.0,1,3,3,10.0,6,
2010,79.0,0,5,3,12.0,1,
2010,71.0,1,5,3,12.0,3,
2010,20.0,1,2,3,12.0,4,
2010,40.0,0,2,3,14.0,7,
2010,27.0,1,3,3,14.0,7,
2010,62.0,0,5,3,18.0,1,
2010,29.0,0,2,3,9.0,7,
2010,30.0,1,2,3,12.0,6,
2010,28.0,0,2,3,18.0,7,
2010,27.0,0,2,3,18.0,7,
2010,38.0,0,5,3,8.0,7,
2010,35.0,0,4,3,13.0,1,
2010,32.0,1,4,3,4.0,8,
2010,67.0,0,5,3,20.0,8,
2010,69.0,0,5,3,12.0,8,
2010,55.0,1,5,3,16.0,7,
2010,81.0,1,5,3,16.0,3,
2010,19.0,1,5,3,13.0,4,
2010,25.0,0,5,3,16.0,4,
2010,27.0,1,5,3,16.0,7,
2010,18.0,1,2,3,12.0,9,
2010,35.0,0,3,3,20.0,7,
2010,51.0,1,5,3,12.0,7,
2010,19.0,0,5,3,10.0,1,
2010,50.0,1,5,7,13.0,7,
2010,53.0,0,5,7,16.0,7,
2010,53.0,0,5,7,13.0,6,
2010,67.0,1,5,7,13.0,3,
2010,59.0,1,5,7,16.0,1,
2010,54.0,0,5,7,14.0,1,
2010,55.0,1,2,7,12.0,7,
2010,29.0,1,3,7,10.0,6,
2010,66.0,1,2,7,14.0,3,
2010,77.0,1,4,7,12.0,3,
2010,43.0,1,2,7,12.0,7,
2010,45.0,0,3,7,12.0,7,
2010,69.0,1,2,7,4.0,8,
2010,54.0,1,3,7,9.0,7,
2010,46.0,0,3,7,14.0,7,
2010,40.0,1,3,7,11.0,7,
2010,72.0,1,3,7,5.0,3,
2010,60.0,0,6,7,12.0,1,
2010,81.0,1,5,7,12.0,3,
