Age [Demographic Core],Sex,Highest Grade Completed [Demographic],Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,Employment Status
28.0,0,11.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8
66.0,0,14.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3
35.0,0,13.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
52.0,1,12.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6
63.0,1,14.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
31.0,1,13.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
29.0,0,17.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
50.0,1,17.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
47.0,1,12.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7
62.0,1,13.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7
18.0,0,13.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4
28.0,0,16.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
24.0,1,16.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
40.0,1,16.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7
24.0,0,15.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8
24.0,1,16.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4
22.0,1,11.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
21.0,1,15.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8
67.0,1,16.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3
32.0,0,19.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7
38.0,1,9.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
55.0,0,12.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
40.0,1,14.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
38.0,1,11.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
52.0,1,13.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
34.0,0,16.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
22.0,0,16.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7
56.0,1,17.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7
60.0,0,12.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
39.0,1,16.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
67.0,1,12.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3
