,age,sex,race,region,highest_grade,employment_status,marital_status,religious,spiritual,party,lib_cons,death_penalty,court_harsh,income,sex_partners,sex_freq,bar,tv,relatives,spanking,income_distribution,standard_living,birth_control,immigration,govt_help_poor,govt_help_sick,govt_more_less,govt_help_blacks,affirmative_action,gun,tax_approp,divorce_ease,numb_children,income_bucket
3283,37.0,1.0,15.0,7.0,12.0,6.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,29878.0,6.0,2.0,1.0,2.0,2.0,3.0,5.0,2.0,2.0,0.0,3.0,3.0,3.0,5.0,0.0,1.0,2.0,0.0,3.0,2
3284,76.0,1.0,15.0,7.0,20.0,6.0,1.0,3.0,3.0,5.0,4.0,0.0,0.0,89634.0,1.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0,3.0,6
3285,82.0,1.0,15.0,7.0,12.0,2.0,4.0,2.0,3.0,1.0,3.0,1.0,0.0,17655.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,3.0,1.0,0.0,3.0,1.0,5.0,3.0,0.0,1.0,2.0,2.0,2.0,1
3286,47.0,0.0,15.0,7.0,16.0,6.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,48891.0,1.0,2.0,1.0,3.0,3.0,2.0,5.0,2.0,0.0,1.0,4.0,4.0,4.0,5.0,1.0,0.0,2.0,2.0,2.0,4
3287,48.0,0.0,15.0,7.0,16.0,5.0,0.0,2.0,3.0,4.0,3.0,1.0,0.0,48891.0,1.0,0.0,0.0,4.0,6.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,4
3288,52.0,1.0,15.0,7.0,12.0,7.0,1.0,2.0,3.0,6.0,3.0,1.0,0.0,8149.0,1.0,3.0,0.0,4.0,5.0,3.0,4.0,3.0,0.0,0.0,3.0,3.0,4.0,5.0,0.0,0.0,1.0,1.0,3.0,0
3289,82.0,0.0,0.0,7.0,8.0,0.0,4.0,3.0,3.0,6.0,1.0,1.0,0.0,7063.0,0.0,0.0,0.0,4.0,5.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,2.0,2.0,0
3290,34.0,0.0,15.0,7.0,16.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,48891.0,1.0,2.0,0.0,1.0,3.0,2.0,6.0,4.0,2.0,2.0,3.0,3.0,3.0,5.0,0.0,1.0,1.0,2.0,2.0,4
3291,54.0,0.0,15.0,7.0,14.0,6.0,4.0,2.0,3.0,2.0,3.0,1.0,0.0,5976.0,1.0,0.0,1.0,3.0,6.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,2.0,2.0,2.0,0
3292,39.0,0.0,15.0,7.0,11.0,0.0,0.0,2.0,3.0,4.0,3.0,1.0,0.0,48891.0,3.0,2.0,0.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,4
3293,46.0,1.0,15.0,7.0,8.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,59755.0,1.0,4.0,0.0,0.0,2.0,2.0,5.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,5.0,5
3294,42.0,0.0,15.0,7.0,12.0,6.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,48891.0,1.0,0.0,0.0,3.0,4.0,1.0,4.0,3.0,0.0,0.0,2.0,1.0,4.0,3.0,0.0,1.0,2.0,2.0,2.0,4
3295,58.0,1.0,15.0,7.0,16.0,2.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,48891.0,1.0,2.0,0.0,1.0,2.0,2.0,7.0,3.0,1.0,0.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0,2.0,1.0,4
3296,51.0,0.0,15.0,7.0,14.0,6.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,130375.0,1.0,3.0,0.0,2.0,5.0,2.0,7.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0,2.0,2.0,7
3297,50.0,0.0,15.0,0.0,14.0,6.0,1.0,2.0,3.0,4.0,3.0,1.0,0.0,59755.0,1.0,3.0,0.0,5.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,1.0,2.0,2.0,2.0,5
3298,37.0,0.0,15.0,0.0,11.0,6.0,1.0,1.0,3.0,2.0,3.0,1.0,0.0,40743.0,1.0,2.0,0.0,2.0,5.0,2.0,3.0,4.0,2.0,0.0,3.0,4.0,3.0,5.0,0.0,1.0,2.0,0.0,3.0,4
3299,75.0,0.0,15.0,0.0,11.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0,0.0,12223.0,0.0,0.0,0.0,4.0,6.0,3.0,1.0,4.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1
3300,37.0,0.0,15.0,0.0,13.0,7.0,1.0,1.0,3.0,6.0,3.0,1.0,0.0,35311.0,1.0,4.0,0.0,1.0,5.0,2.0,1.0,3.0,0.0,1.0,3.0,3.0,3.0,5.0,0.0,1.0,1.0,2.0,2.0,3
3301,54.0,0.0,15.0,0.0,9.0,0.0,1.0,2.0,3.0,5.0,3.0,1.0,1.0,48891.0,1.0,2.0,1.0,5.0,5.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,4
