,age,highest_grade,religious,spiritual,party,death_penalty,court_harsh,bar,relatives,income_distribution,tv,spanking,standard_of_living,immigration,gun,tax_approp,affirmative_action,divorce_ease,numb_children,birth_control
987,52.0,15.0,1.0,3.0,3.0,1.0,1.0,,,4.0,,,1.0,,0.0,2.0,,,,
988,49.0,12.0,3.0,2.0,3.0,0.0,0.0,0.0,4.0,,3.0,2.0,,1.0,0.0,2.0,3.0,1.0,2.0,
989,62.0,12.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,3.0,6.0,2.0,1.0,0.0,,,1.0,2.0,4.0,1.0
990,54.0,12.0,3.0,3.0,1.0,1.0,0.0,,,3.0,,,,,,2.0,,,,
991,30.0,16.0,3.0,3.0,6.0,0.0,0.0,0.0,6.0,4.0,9.0,3.0,1.0,1.0,,,3.0,2.0,3.0,2.0
992,53.0,11.0,0.0,1.0,5.0,0.0,,4.0,4.0,,5.0,3.0,,0.0,1.0,2.0,0.0,2.0,0.0,2.0
993,40.0,17.0,0.0,2.0,,1.0,0.0,0.0,5.0,,0.0,2.0,,1.0,0.0,2.0,0.0,2.0,2.0,3.0
994,67.0,18.0,0.0,2.0,6.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,4.0,3.0,,,2.0,0.0,2.0,2.0
995,78.0,18.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,,5.0,3.0,,2.0,1.0,1.0,3.0,1.0,2.0,1.0
996,66.0,12.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,,,0.0,0.0,2.0,3.0
997,57.0,12.0,0.0,0.0,3.0,1.0,0.0,,,1.0,,,2.0,,1.0,1.0,,,,
998,42.0,11.0,2.0,1.0,4.0,1.0,0.0,4.0,5.0,4.0,2.0,2.0,3.0,3.0,,,2.0,0.0,2.0,2.0
999,32.0,16.0,0.0,2.0,3.0,,0.0,,,5.0,,,2.0,,0.0,1.0,,,,
1000,20.0,12.0,2.0,1.0,6.0,1.0,0.0,0.0,5.0,,1.0,2.0,,2.0,1.0,2.0,1.0,0.0,2.0,2.0
1001,61.0,15.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,,,1.0,0.0,2.0,0.0
1002,55.0,9.0,2.0,3.0,4.0,0.0,1.0,,,1.0,,,2.0,,0.0,1.0,,,,
1003,23.0,10.0,0.0,0.0,3.0,1.0,0.0,3.0,2.0,,3.0,2.0,,0.0,1.0,1.0,2.0,0.0,2.0,1.0
1004,33.0,9.0,0.0,3.0,5.0,0.0,1.0,4.0,5.0,2.0,2.0,2.0,0.0,0.0,,,0.0,2.0,2.0,1.0
1005,62.0,9.0,3.0,2.0,2.0,1.0,0.0,0.0,3.0,,9.0,2.0,,3.0,0.0,2.0,0.0,0.0,3.0,0.0
1006,59.0,12.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,6.0,3.0,1.0,1.0,,,0.0,2.0,3.0,1.0
1007,62.0,17.0,1.0,1.0,1.0,1.0,,0.0,0.0,,8.0,2.0,,2.0,1.0,1.0,0.0,2.0,2.0,1.0
1008,65.0,12.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,7.0,1.0,2.0,4.0,0.0,,,0.0,2.0,2.0,0.0
1009,30.0,16.0,2.0,2.0,0.0,1.0,0.0,,,7.0,,,3.0,,1.0,2.0,,,,
1010,32.0,14.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,,2.0,2.0,,1.0,1.0,1.0,0.0,2.0,2.0,2.0
1011,40.0,12.0,2.0,2.0,5.0,1.0,0.0,1.0,2.0,4.0,3.0,3.0,4.0,2.0,,,0.0,0.0,3.0,2.0
1012,53.0,20.0,0.0,0.0,6.0,0.0,,3.0,2.0,,1.0,,,3.0,1.0,1.0,,0.0,2.0,2.0
1013,72.0,17.0,0.0,0.0,6.0,,,0.0,0.0,,0.0,0.0,,2.0,0.0,1.0,0.0,,1.0,0.0
1014,26.0,16.0,3.0,2.0,0.0,1.0,0.0,,,5.0,,,4.0,,0.0,2.0,,,,
1015,33.0,14.0,0.0,2.0,5.0,1.0,,4.0,1.0,5.0,2.0,3.0,2.0,1.0,,,3.0,0.0,2.0,2.0
1016,65.0,12.0,3.0,2.0,3.0,0.0,,0.0,2.0,5.0,2.0,,3.0,2.0,,,3.0,,2.0,
1017,40.0,12.0,3.0,3.0,0.0,1.0,0.0,,,1.0,,,4.0,,0.0,2.0,,,,
1018,32.0,20.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,3.0,3.0,,,2.0,2.0,2.0,2.0
1019,52.0,10.0,1.0,3.0,6.0,0.0,2.0,0.0,5.0,2.0,10.0,1.0,0.0,4.0,,,3.0,0.0,2.0,3.0
1020,50.0,12.0,3.0,3.0,1.0,1.0,,,,1.0,,,1.0,,1.0,1.0,,,,
1021,73.0,14.0,2.0,,0.0,0.0,,0.0,5.0,,4.0,3.0,,1.0,1.0,1.0,0.0,1.0,2.0,2.0
1022,53.0,16.0,3.0,3.0,2.0,1.0,0.0,,,7.0,,,2.0,,0.0,2.0,,,,
1023,72.0,14.0,2.0,3.0,0.0,,1.0,0.0,6.0,1.0,3.0,2.0,1.0,0.0,,,0.0,0.0,4.0,1.0
1024,66.0,16.0,3.0,3.0,0.0,1.0,0.0,,,7.0,,,4.0,,1.0,1.0,,,,
1025,89.0,20.0,3.0,3.0,,0.0,1.0,0.0,2.0,4.0,3.0,2.0,3.0,2.0,,,1.0,1.0,,1.0
1026,63.0,14.0,3.0,3.0,6.0,0.0,2.0,,,5.0,,,2.0,,0.0,1.0,,,,
1027,26.0,16.0,3.0,3.0,1.0,1.0,0.0,0.0,5.0,4.0,2.0,1.0,4.0,2.0,,,1.0,2.0,3.0,0.0
1028,43.0,6.0,0.0,1.0,,1.0,0.0,,,3.0,,,,,1.0,2.0,,,,
1029,56.0,13.0,2.0,2.0,5.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,4.0,0.0,,,,0.0,2.0,3.0
1030,69.0,14.0,2.0,2.0,6.0,0.0,1.0,,,4.0,,,3.0,,1.0,2.0,,,,
1031,27.0,14.0,2.0,2.0,1.0,1.0,0.0,,,4.0,,,4.0,,1.0,1.0,,,,
1032,43.0,16.0,3.0,3.0,5.0,0.0,0.0,,,5.0,,,4.0,,0.0,1.0,,,,
1033,82.0,10.0,3.0,3.0,0.0,0.0,2.0,0.0,6.0,1.0,9.0,2.0,3.0,1.0,,,1.0,2.0,,1.0
1034,53.0,12.0,0.0,3.0,6.0,0.0,1.0,,,2.0,,,4.0,,0.0,1.0,,,,
1035,39.0,15.0,1.0,3.0,3.0,0.0,1.0,4.0,3.0,,1.0,2.0,,2.0,0.0,2.0,2.0,2.0,2.0,1.0
1036,63.0,10.0,3.0,2.0,5.0,0.0,0.0,0.0,5.0,1.0,9.0,2.0,4.0,0.0,,,1.0,0.0,2.0,1.0
1037,38.0,13.0,3.0,2.0,1.0,1.0,1.0,0.0,5.0,,1.0,3.0,,2.0,0.0,2.0,3.0,1.0,3.0,3.0
1038,41.0,11.0,2.0,2.0,4.0,1.0,0.0,,,1.0,,,0.0,,1.0,1.0,,,,
1039,68.0,16.0,3.0,3.0,6.0,0.0,0.0,1.0,5.0,,2.0,3.0,,2.0,0.0,1.0,3.0,2.0,2.0,0.0
1040,77.0,12.0,1.0,1.0,4.0,1.0,0.0,0.0,6.0,,4.0,2.0,,2.0,1.0,1.0,0.0,2.0,2.0,2.0
1041,30.0,17.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,,,0.0,2.0,2.0,2.0
1042,27.0,11.0,3.0,2.0,3.0,,2.0,3.0,5.0,,3.0,1.0,,2.0,0.0,1.0,,0.0,4.0,2.0
1043,49.0,8.0,2.0,2.0,1.0,0.0,1.0,,,4.0,,,3.0,,0.0,2.0,,,,
1044,36.0,14.0,1.0,2.0,2.0,1.0,0.0,0.0,6.0,,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,3.0,0.0
1045,67.0,8.0,1.0,3.0,2.0,1.0,0.0,,,5.0,,,3.0,,0.0,1.0,,,,
1046,70.0,12.0,0.0,1.0,6.0,1.0,0.0,0.0,2.0,,5.0,2.0,,2.0,1.0,1.0,0.0,0.0,4.0,3.0
1047,43.0,11.0,1.0,1.0,1.0,1.0,0.0,,,1.0,,,0.0,,1.0,2.0,,,,
1048,35.0,14.0,2.0,3.0,5.0,0.0,2.0,0.0,4.0,2.0,3.0,1.0,2.0,2.0,,,3.0,,3.0,2.0
1049,27.0,14.0,2.0,2.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,,,3.0,1.0,,0.0
1050,32.0,12.0,3.0,3.0,6.0,0.0,0.0,,,1.0,,,0.0,,0.0,1.0,,,,
1051,40.0,12.0,2.0,2.0,6.0,0.0,2.0,3.0,5.0,,4.0,3.0,,4.0,1.0,1.0,3.0,0.0,3.0,3.0
1052,54.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,9.0,3.0,2.0,0.0,,,2.0,2.0,2.0,0.0
1053,73.0,14.0,3.0,2.0,4.0,0.0,2.0,,,1.0,,,4.0,,0.0,,,,,
1054,55.0,12.0,3.0,3.0,6.0,1.0,2.0,0.0,5.0,,6.0,2.0,,0.0,0.0,2.0,2.0,,,0.0
1055,23.0,12.0,2.0,2.0,6.0,0.0,0.0,2.0,6.0,1.0,3.0,2.0,2.0,1.0,,,3.0,0.0,4.0,3.0
1056,21.0,12.0,2.0,2.0,6.0,0.0,2.0,3.0,4.0,,4.0,2.0,,2.0,0.0,2.0,0.0,0.0,3.0,2.0
1057,20.0,15.0,2.0,2.0,3.0,0.0,1.0,0.0,4.0,3.0,1.0,2.0,4.0,2.0,,,0.0,2.0,3.0,0.0
1058,47.0,13.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,,2.0,2.0,,2.0,0.0,1.0,0.0,0.0,3.0,2.0
1059,62.0,16.0,2.0,2.0,5.0,1.0,0.0,,,2.0,,,4.0,,1.0,1.0,,,,
1060,31.0,15.0,0.0,0.0,,1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,,0.0,0.0,1.0,3.0
1061,64.0,12.0,2.0,2.0,6.0,1.0,0.0,0.0,6.0,5.0,8.0,2.0,4.0,2.0,,,0.0,0.0,2.0,1.0
1062,52.0,16.0,2.0,2.0,6.0,0.0,0.0,2.0,4.0,1.0,4.0,3.0,2.0,1.0,,,1.0,0.0,3.0,2.0
1063,56.0,12.0,2.0,1.0,5.0,1.0,0.0,0.0,1.0,,1.0,2.0,,1.0,1.0,1.0,2.0,2.0,3.0,3.0
1064,30.0,12.0,3.0,2.0,6.0,1.0,0.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,,,1.0,0.0,3.0,1.0
1065,73.0,14.0,0.0,0.0,4.0,0.0,1.0,,,5.0,,,,,1.0,0.0,,,,
1066,68.0,14.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,,6.0,3.0,,0.0,,2.0,0.0,,2.0,0.0
1067,69.0,16.0,2.0,2.0,1.0,1.0,0.0,4.0,5.0,,2.0,3.0,,1.0,,1.0,0.0,2.0,2.0,0.0
1068,59.0,12.0,1.0,1.0,3.0,,0.0,3.0,6.0,,4.0,2.0,,0.0,0.0,2.0,0.0,,2.0,3.0
1069,39.0,11.0,2.0,3.0,5.0,0.0,2.0,0.0,3.0,4.0,9.0,1.0,3.0,2.0,,,0.0,2.0,1.0,1.0
1070,57.0,11.0,3.0,3.0,6.0,0.0,0.0,,,7.0,,,3.0,,0.0,,,,,
1071,29.0,12.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,,3.0,3.0,,1.0,0.0,1.0,1.0,0.0,4.0,3.0
1072,19.0,10.0,3.0,3.0,0.0,,,3.0,2.0,1.0,7.0,2.0,2.0,3.0,,,3.0,2.0,3.0,3.0
1073,30.0,10.0,1.0,1.0,3.0,1.0,0.0,,,1.0,,,3.0,,0.0,1.0,,,,
1074,38.0,12.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,,2.0,3.0,,0.0,0.0,2.0,0.0,1.0,2.0,1.0
1075,28.0,12.0,2.0,2.0,1.0,1.0,,0.0,4.0,6.0,2.0,3.0,3.0,2.0,,,0.0,2.0,2.0,2.0
1076,41.0,14.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,7.0,9.0,2.0,0.0,1.0,,,0.0,0.0,2.0,2.0
1077,56.0,16.0,3.0,2.0,6.0,1.0,0.0,,,1.0,,,3.0,,0.0,2.0,,,,
1078,24.0,16.0,1.0,2.0,1.0,1.0,0.0,4.0,5.0,6.0,2.0,2.0,4.0,1.0,,,0.0,0.0,2.0,1.0
1079,58.0,14.0,,3.0,5.0,,,,,,,,4.0,,0.0,2.0,,,,
1080,28.0,16.0,2.0,,6.0,,,5.0,5.0,,10.0,3.0,,,0.0,1.0,,,,3.0
1081,55.0,12.0,2.0,3.0,0.0,1.0,0.0,,,7.0,,,1.0,,,2.0,,,,
1082,41.0,14.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0,,3.0,1.0,,2.0,,2.0,0.0,2.0,2.0,0.0
1083,29.0,14.0,1.0,1.0,6.0,0.0,0.0,2.0,2.0,,5.0,3.0,,1.0,0.0,1.0,3.0,0.0,3.0,0.0
1084,64.0,13.0,2.0,3.0,6.0,,0.0,3.0,5.0,,4.0,1.0,,2.0,0.0,2.0,3.0,2.0,3.0,
1085,41.0,14.0,2.0,3.0,4.0,1.0,,,,5.0,,,1.0,,0.0,1.0,,,,
1086,39.0,8.0,2.0,3.0,1.0,1.0,0.0,,,6.0,,,1.0,,1.0,1.0,,,,
1087,29.0,13.0,2.0,1.0,1.0,1.0,0.0,4.0,5.0,,2.0,3.0,,0.0,1.0,2.0,1.0,2.0,2.0,3.0
1088,54.0,13.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,,2.0,2.0,,0.0,0.0,2.0,,2.0,3.0,1.0
1089,47.0,14.0,2.0,3.0,6.0,1.0,1.0,,,4.0,,,4.0,,0.0,1.0,,,,
1090,44.0,12.0,3.0,2.0,6.0,0.0,1.0,0.0,0.0,,1.0,1.0,,2.0,0.0,2.0,0.0,0.0,4.0,3.0
1091,60.0,15.0,1.0,3.0,1.0,1.0,1.0,,,5.0,,,4.0,,1.0,1.0,,,,
1092,60.0,14.0,1.0,2.0,1.0,1.0,0.0,3.0,4.0,,2.0,3.0,,2.0,0.0,2.0,0.0,1.0,2.0,2.0
1093,53.0,16.0,1.0,2.0,0.0,1.0,1.0,3.0,4.0,6.0,2.0,2.0,1.0,1.0,,,0.0,2.0,2.0,1.0
1094,19.0,8.0,1.0,0.0,3.0,1.0,0.0,,,4.0,,,2.0,,1.0,,,,,
1095,46.0,12.0,3.0,3.0,3.0,1.0,0.0,1.0,3.0,,2.0,2.0,,4.0,0.0,1.0,0.0,1.0,,3.0
1096,84.0,13.0,,,,1.0,0.0,,,,,,,,0.0,,1.0,,,
1097,35.0,16.0,0.0,3.0,,1.0,2.0,,,1.0,,,1.0,,0.0,2.0,,,,
1098,60.0,14.0,0.0,3.0,0.0,1.0,2.0,0.0,4.0,,2.0,2.0,,2.0,,2.0,0.0,1.0,3.0,1.0
1099,46.0,12.0,2.0,3.0,5.0,1.0,2.0,,,3.0,,,3.0,,0.0,1.0,,,,
1100,26.0,8.0,1.0,0.0,4.0,1.0,2.0,0.0,6.0,4.0,1.0,1.0,3.0,1.0,,,1.0,0.0,2.0,2.0
1101,31.0,16.0,2.0,2.0,0.0,1.0,0.0,3.0,5.0,,4.0,2.0,,2.0,1.0,,0.0,1.0,3.0,0.0
1102,67.0,14.0,2.0,2.0,4.0,0.0,2.0,,,4.0,,,4.0,,0.0,1.0,,,,
1103,88.0,15.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,,2.0,2.0,,1.0,1.0,2.0,1.0,2.0,2.0,2.0
1104,40.0,18.0,1.0,2.0,4.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,,,0.0,0.0,2.0,3.0
1105,70.0,16.0,3.0,3.0,5.0,1.0,,,,2.0,,,2.0,,1.0,1.0,,,,
1106,44.0,9.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,0.0,,,0.0,2.0,,1.0
1107,39.0,14.0,2.0,2.0,3.0,1.0,1.0,,,1.0,,,4.0,,1.0,2.0,,,,
1108,65.0,12.0,1.0,0.0,0.0,1.0,0.0,,,6.0,,,4.0,,1.0,2.0,,,,
1109,33.0,11.0,3.0,3.0,3.0,1.0,0.0,0.0,6.0,,2.0,3.0,,2.0,0.0,2.0,3.0,0.0,3.0,3.0
1110,63.0,17.0,3.0,3.0,6.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,,,0.0,2.0,2.0,3.0
1111,31.0,13.0,2.0,2.0,5.0,,2.0,,,2.0,,,3.0,,0.0,2.0,,,,
1112,71.0,12.0,2.0,3.0,2.0,1.0,1.0,,,6.0,,,4.0,,1.0,1.0,,,,
1113,32.0,12.0,2.0,2.0,,1.0,0.0,0.0,5.0,1.0,1.0,2.0,3.0,4.0,,,,2.0,2.0,0.0
1114,52.0,14.0,2.0,3.0,5.0,0.0,1.0,,,7.0,,,2.0,,0.0,1.0,,,,
1115,77.0,12.0,2.0,3.0,6.0,0.0,0.0,0.0,5.0,,8.0,2.0,,1.0,0.0,2.0,1.0,2.0,3.0,0.0
1116,42.0,12.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,7.0,1.0,2.0,3.0,2.0,,,0.0,2.0,1.0,2.0
1117,52.0,16.0,0.0,0.0,,0.0,0.0,,,4.0,,,2.0,,1.0,1.0,,,,
1118,70.0,16.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,,3.0,2.0,,2.0,1.0,2.0,1.0,2.0,2.0,2.0
1119,23.0,8.0,0.0,0.0,3.0,1.0,,,,4.0,,,2.0,,0.0,1.0,,,,
1120,84.0,16.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,,3.0,2.0,,0.0,1.0,1.0,2.0,,,2.0
1121,30.0,12.0,2.0,2.0,0.0,1.0,1.0,2.0,5.0,,3.0,3.0,,2.0,1.0,2.0,0.0,1.0,2.0,3.0
1122,59.0,11.0,,,6.0,,0.0,0.0,0.0,4.0,,2.0,3.0,2.0,,,,,4.0,1.0
1123,61.0,12.0,1.0,1.0,5.0,1.0,0.0,0.0,2.0,6.0,3.0,2.0,4.0,0.0,,,1.0,0.0,2.0,1.0
1124,37.0,12.0,3.0,3.0,,,2.0,,,1.0,,,3.0,,0.0,2.0,,,,
1125,41.0,12.0,1.0,1.0,3.0,1.0,0.0,0.0,5.0,,1.0,2.0,,0.0,1.0,2.0,1.0,0.0,2.0,2.0
1126,55.0,12.0,2.0,3.0,6.0,1.0,0.0,0.0,5.0,1.0,4.0,2.0,3.0,0.0,,,0.0,2.0,2.0,3.0
1127,31.0,14.0,3.0,3.0,0.0,1.0,0.0,,,3.0,,,2.0,,0.0,1.0,,,,
1128,21.0,10.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,4.0,2.0,4.0,1.0,,,1.0,0.0,2.0,3.0
1129,28.0,12.0,1.0,1.0,1.0,1.0,2.0,,,2.0,,,2.0,,1.0,1.0,,,,
1130,35.0,16.0,3.0,1.0,1.0,1.0,0.0,0.0,4.0,,3.0,3.0,,0.0,0.0,1.0,1.0,2.0,2.0,0.0
1131,52.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,,,1.0,2.0,3.0,3.0
1132,63.0,20.0,2.0,2.0,6.0,1.0,0.0,4.0,0.0,4.0,3.0,2.0,2.0,2.0,,,1.0,1.0,3.0,2.0
1133,46.0,12.0,2.0,3.0,6.0,1.0,0.0,4.0,5.0,,0.0,2.0,,2.0,0.0,2.0,1.0,2.0,2.0,2.0
1134,64.0,14.0,0.0,3.0,1.0,1.0,0.0,0.0,5.0,6.0,2.0,1.0,2.0,1.0,,,0.0,2.0,2.0,2.0
1135,29.0,13.0,2.0,3.0,3.0,0.0,1.0,,,1.0,,,3.0,,0.0,1.0,,,,
1136,41.0,19.0,2.0,3.0,5.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,4.0,3.0,,,3.0,0.0,3.0,3.0
1137,60.0,16.0,2.0,2.0,6.0,1.0,2.0,,,4.0,,,1.0,,0.0,1.0,,,,
1138,38.0,8.0,,,3.0,1.0,2.0,0.0,6.0,1.0,1.0,,,0.0,,,0.0,0.0,4.0,0.0
1139,81.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,,3.0,2.0,,0.0,1.0,2.0,0.0,,3.0,1.0
1140,52.0,12.0,2.0,1.0,4.0,1.0,0.0,0.0,5.0,7.0,8.0,0.0,1.0,0.0,,,0.0,2.0,2.0,3.0
1141,46.0,15.0,2.0,3.0,1.0,1.0,0.0,3.0,5.0,4.0,2.0,3.0,2.0,0.0,,,0.0,0.0,2.0,3.0
1142,27.0,12.0,1.0,0.0,2.0,0.0,2.0,,,1.0,,,2.0,,0.0,2.0,,,,
1143,43.0,16.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,,3.0,,,1.0,0.0,2.0,1.0,2.0,2.0,1.0
1144,48.0,12.0,2.0,3.0,0.0,1.0,1.0,0.0,3.0,1.0,4.0,2.0,0.0,2.0,,,0.0,2.0,,2.0
1145,37.0,12.0,1.0,2.0,6.0,1.0,0.0,0.0,6.0,,5.0,3.0,,0.0,0.0,,0.0,0.0,4.0,3.0
1146,55.0,20.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0,,1.0,3.0,,0.0,1.0,2.0,0.0,2.0,2.0,0.0
1147,19.0,11.0,2.0,2.0,1.0,1.0,1.0,,,4.0,,,3.0,,1.0,2.0,,,,
1148,37.0,18.0,3.0,3.0,5.0,0.0,1.0,0.0,5.0,1.0,5.0,3.0,3.0,2.0,,,3.0,2.0,3.0,0.0
1149,47,13.0,2.0,2.0,6.0,0.0,1.0,0.0,5.0,,2.0,1.0,,2.0,0.0,1.0,0.0,1.0,,0.0
1150,37.0,17.0,2.0,2.0,6.0,1.0,1.0,,,4.0,,,2.0,,0.0,2.0,,,,
1151,47.0,20.0,2.0,3.0,5.0,0.0,,,,7.0,,,4.0,,0.0,2.0,,,,
1152,77.0,11.0,3.0,3.0,6.0,1.0,0.0,0.0,5.0,,8.0,3.0,,2.0,0.0,,0.0,,,2.0
1153,21.0,11.0,2.0,1.0,4.0,1.0,2.0,0.0,2.0,,6.0,3.0,,0.0,1.0,2.0,0.0,0.0,4.0,1.0
1154,71.0,15.0,2.0,3.0,6.0,,,0.0,4.0,3.0,4.0,2.0,2.0,,,,0.0,,,1.0
1155,59.0,18.0,3.0,3.0,6.0,0.0,1.0,,,1.0,,,4.0,,1.0,1.0,,,,
1156,57.0,12.0,1.0,1.0,1.0,1.0,1.0,,,7.0,,,2.0,,0.0,1.0,,,,
1157,37.0,17.0,2.0,0.0,2.0,1.0,1.0,5.0,6.0,,3.0,2.0,,4.0,0.0,0.0,1.0,2.0,1.0,1.0
1158,37.0,12.0,2.0,2.0,4.0,0.0,0.0,4.0,5.0,1.0,2.0,3.0,3.0,2.0,,,3.0,2.0,3.0,3.0
1159,49.0,12.0,1.0,1.0,6.0,1.0,2.0,0.0,3.0,,4.0,3.0,,2.0,0.0,1.0,3.0,,3.0,2.0
1160,63.0,12.0,3.0,3.0,4.0,0.0,2.0,,,2.0,,,4.0,,0.0,1.0,,,,
1161,22.0,9.0,3.0,3.0,5.0,0.0,2.0,,,1.0,,,0.0,,0.0,2.0,,,,
1162,45.0,15.0,2.0,3.0,6.0,1.0,0.0,3.0,2.0,,5.0,3.0,,1.0,1.0,2.0,0.0,0.0,3.0,0.0
1163,82.0,18.0,2.0,2.0,5.0,1.0,0.0,0.0,3.0,4.0,2.0,2.0,3.0,1.0,,,1.0,2.0,,1.0
1164,59.0,16.0,3.0,3.0,5.0,1.0,2.0,,,5.0,,,0.0,,1.0,2.0,,,,
1165,41.0,13.0,2.0,3.0,5.0,1.0,2.0,0.0,5.0,,3.0,2.0,,4.0,0.0,2.0,1.0,0.0,3.0,1.0
1166,47.0,13.0,3.0,0.0,3.0,1.0,0.0,,,5.0,,,3.0,,1.0,1.0,,,,
1167,29.0,10.0,2.0,2.0,3.0,1.0,,,,4.0,,,2.0,,0.0,1.0,,,,
1168,52.0,13.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,,,1.0,1.0,,1.0
1169,24.0,13.0,2.0,3.0,4.0,1.0,0.0,,,3.0,,,3.0,,1.0,1.0,,,,
1170,72.0,13.0,3.0,3.0,6.0,,1.0,,,1.0,,,3.0,,0.0,1.0,,,,
1171,52.0,14.0,2.0,3.0,6.0,0.0,0.0,,,1.0,,,3.0,,0.0,2.0,,,,
1172,54.0,19.0,2.0,3.0,3.0,0.0,0.0,,,6.0,,,0.0,,0.0,1.0,,,,
1173,61.0,17.0,0.0,3.0,4.0,1.0,0.0,1.0,3.0,,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,2.0,2.0
1174,37.0,16.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,7.0,2.0,2.0,2.0,2.0,,,0.0,2.0,,0.0
1175,65.0,16.0,2.0,3.0,2.0,1.0,0.0,,,6.0,,,2.0,,0.0,1.0,,,,
1176,33.0,16.0,2.0,3.0,0.0,1.0,0.0,0.0,4.0,5.0,2.0,3.0,4.0,1.0,,,0.0,2.0,2.0,0.0
1177,64.0,12.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,,3.0,2.0,,2.0,0.0,2.0,3.0,2.0,2.0,2.0
1178,52.0,16.0,2.0,2.0,4.0,0.0,0.0,,,1.0,,,2.0,,0.0,1.0,,,,
1179,71.0,12.0,2.0,2.0,3.0,1.0,0.0,,,,,,3.0,,1.0,2.0,,,,
1180,65.0,12.0,2.0,3.0,6.0,,0.0,0.0,2.0,1.0,3.0,3.0,4.0,2.0,,,2.0,0.0,2.0,1.0
1181,19.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,2.0,,,0.0,0.0,3.0,3.0
1182,60.0,16.0,3.0,2.0,6.0,0.0,2.0,,,1.0,,,2.0,,1.0,1.0,,,,
1183,60.0,12.0,3.0,3.0,0.0,1.0,2.0,,,1.0,,,3.0,,1.0,1.0,,,,
1184,25.0,12.0,2.0,1.0,5.0,1.0,0.0,0.0,3.0,,4.0,2.0,,2.0,0.0,2.0,1.0,2.0,3.0,1.0
1185,51.0,12.0,1.0,1.0,1.0,1.0,0.0,5.0,2.0,,3.0,2.0,,2.0,0.0,2.0,1.0,2.0,2.0,2.0
1186,66.0,12.0,1.0,1.0,1.0,1.0,0.0,,,6.0,,,4.0,,0.0,2.0,,,,
1187,68.0,12.0,2.0,1.0,6.0,1.0,0.0,,,4.0,,,2.0,,1.0,2.0,,,,
1188,52.0,12.0,1.0,,6.0,,,,,4.0,,,3.0,,0.0,1.0,,,,
1189,37.0,19.0,0.0,2.0,6.0,0.0,1.0,3.0,4.0,,4.0,2.0,,3.0,1.0,1.0,1.0,1.0,1.0,3.0
1190,87.0,16.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,2.0,4.0,1.0,,,0.0,2.0,,3.0
1191,26.0,16.0,0.0,2.0,5.0,0.0,1.0,4.0,2.0,,1.0,2.0,,2.0,0.0,1.0,1.0,1.0,3.0,3.0
