,age,highest_grade,religious,spiritual,party,death_penalty,court_harsh,bar,relatives,income_distribution,tv,spanking,standard_of_living,immigration,gun,tax_approp,affirmative_action,divorce_ease,numb_children,birth_control
1235,54.0,12.0,3.0,3.0,6.0,0.0,0.0,,,1.0,,,3.0,,0.0,1.0,,,,
1236,68.0,15.0,2.0,2.0,5.0,,0.0,0.0,2.0,,5.0,1.0,,2.0,0.0,2.0,1.0,2.0,,2.0
1237,47.0,12.0,0.0,0.0,3.0,1.0,0.0,5.0,1.0,,1.0,2.0,,2.0,1.0,2.0,0.0,2.0,2.0,2.0
1238,88.0,17.0,0.0,0.0,6.0,0.0,0.0,,,7.0,,,2.0,,0.0,1.0,,,,
1239,77.0,20.0,2.0,3.0,0.0,1.0,0.0,3.0,3.0,7.0,4.0,1.0,2.0,0.0,,,0.0,2.0,2.0,0.0
1240,28.0,16.0,2.0,2.0,1.0,1.0,,2.0,4.0,,3.0,3.0,,2.0,0.0,,0.0,2.0,2.0,0.0
1241,58.0,10.0,0.0,0.0,1.0,1.0,0.0,,,1.0,,,1.0,,1.0,2.0,,,,
1242,60.0,6.0,3.0,3.0,5.0,0.0,1.0,0.0,5.0,1.0,1.0,2.0,4.0,1.0,,,0.0,2.0,2.0,0.0
1243,62.0,12.0,2.0,2.0,6.0,1.0,0.0,0.0,2.0,,4.0,2.0,,2.0,1.0,2.0,0.0,2.0,3.0,2.0
1244,38.0,15.0,1.0,1.0,5.0,1.0,0.0,,,1.0,,,2.0,,1.0,1.0,,,,
1245,25.0,12.0,1.0,2.0,3.0,1.0,2.0,0.0,3.0,,3.0,3.0,,0.0,0.0,2.0,3.0,2.0,4.0,2.0
1246,34.0,15.0,2.0,2.0,6.0,1.0,2.0,2.0,6.0,1.0,3.0,3.0,4.0,1.0,,,,0.0,2.0,3.0
1247,89.0,10.0,2.0,2.0,5.0,,0.0,,,1.0,,,4.0,,1.0,1.0,,,,
1248,36.0,10.0,2.0,2.0,3.0,1.0,0.0,,,4.0,,,1.0,,1.0,1.0,,,,
1249,53.0,14.0,2.0,1.0,5.0,1.0,0.0,1.0,3.0,2.0,4.0,2.0,2.0,0.0,,,0.0,2.0,3.0,2.0
1250,46.0,12.0,0.0,2.0,,,,0.0,0.0,,5.0,2.0,,2.0,1.0,2.0,3.0,2.0,0.0,2.0
1251,69.0,8.0,2.0,1.0,,1.0,0.0,,,7.0,,,4.0,,0.0,2.0,,,,
1252,63.0,12.0,1.0,1.0,6.0,0.0,0.0,0.0,2.0,,5.0,1.0,,2.0,0.0,2.0,0.0,1.0,2.0,0.0
1253,19.0,12.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,3.0,1.0,,,1.0,2.0,2.0,1.0
1254,26.0,12.0,2.0,3.0,5.0,1.0,2.0,4.0,2.0,,2.0,0.0,,2.0,1.0,1.0,1.0,2.0,2.0,3.0
1255,42.0,14.0,0.0,0.0,4.0,,0.0,3.0,4.0,,1.0,3.0,,0.0,1.0,1.0,1.0,2.0,2.0,2.0
1256,52.0,14.0,1.0,1.0,5.0,0.0,1.0,,,2.0,,,1.0,,1.0,2.0,,,,
1257,31.0,14.0,1.0,1.0,6.0,0.0,2.0,5.0,6.0,7.0,1.0,1.0,4.0,2.0,,,0.0,0.0,3.0,2.0
1258,46.0,20.0,2.0,2.0,1.0,0.0,0.0,,,5.0,,,2.0,,1.0,2.0,,,,
1259,18.0,11.0,0.0,2.0,4.0,0.0,1.0,0.0,6.0,,2.0,2.0,,2.0,0.0,,1.0,1.0,4.0,1.0
1260,26.0,13.0,3.0,3.0,0.0,,0.0,0.0,4.0,5.0,0.0,2.0,4.0,0.0,,,0.0,2.0,,0.0
1261,40.0,15.0,3.0,2.0,1.0,0.0,,2.0,2.0,,0.0,1.0,,1.0,1.0,2.0,0.0,0.0,2.0,1.0
1262,33.0,12.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,7.0,2.0,2.0,1.0,1.0,,,0.0,2.0,2.0,1.0
1263,57.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,6.0,3.0,3.0,0.0,,,0.0,2.0,2.0,1.0
1264,20.0,14.0,2.0,3.0,6.0,0.0,,0.0,5.0,,0.0,,,,0.0,1.0,1.0,0.0,2.0,2.0
1265,42.0,20.0,0.0,1.0,6.0,1.0,,3.0,1.0,2.0,0.0,,2.0,3.0,,,3.0,1.0,2.0,3.0
1266,41.0,16.0,1.0,1.0,5.0,1.0,1.0,5.0,4.0,,2.0,2.0,,2.0,0.0,0.0,3.0,1.0,3.0,3.0
1267,73.0,11.0,2.0,3.0,3.0,,0.0,0.0,4.0,2.0,3.0,1.0,,2.0,,,0.0,1.0,2.0,1.0
1268,21.0,13.0,1.0,1.0,1.0,1.0,0.0,,,3.0,,,3.0,,0.0,1.0,,,,
1269,21.0,14.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,,1.0,2.0,,1.0,0.0,1.0,2.0,2.0,2.0,2.0
1270,21.0,13.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,,1.0,3.0,,0.0,0.0,1.0,1.0,1.0,,0.0
1271,68.0,20.0,0.0,,6.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,3.0,,,0.0,0.0,,3.0
1272,46.0,18.0,0.0,3.0,3.0,0.0,2.0,,,3.0,,,4.0,,1.0,1.0,,,,
1273,53.0,10.0,0.0,0.0,3.0,1.0,0.0,4.0,5.0,3.0,2.0,3.0,3.0,2.0,,,0.0,0.0,2.0,3.0
1274,28.0,12.0,1.0,0.0,3.0,1.0,,,,2.0,,,2.0,,1.0,2.0,,,,
1275,34.0,15.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,7.0,1.0,3.0,4.0,0.0,,,0.0,0.0,2.0,1.0
1276,68.0,12.0,1.0,1.0,5.0,0.0,0.0,,,4.0,,,1.0,,0.0,1.0,,,,
1277,43.0,11.0,0.0,0.0,,1.0,0.0,0.0,5.0,4.0,4.0,2.0,2.0,3.0,,,3.0,0.0,3.0,
1278,59.0,13.0,2.0,2.0,4.0,0.0,2.0,5.0,2.0,,3.0,1.0,,2.0,1.0,2.0,0.0,1.0,2.0,2.0
